id,name,brand_id,year,fuel,price
253,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1997,2,8796
254,R 100 R   (1992-1999),7,1997,2,4447
255,R 1100 GS   (1997-1999),7,1997,2,2477
256,R 1100 R   (1997-2008),7,1997,2,4537
257,R 1100 RS   (1995-1997),7,1997,2,6280
258,R 1100 RS   (1997-2008),7,1997,2,1646
259,R 1100 RT   (1996-2002),7,1997,2,5731
260,R 1200 C Independent   (1997-2000),7,1997,2,4833
261,R 1200 RT   (1997-2004),7,1997,2,8882
262,R 1200 S   (1997-2006),7,1997,2,9051
263,R 850 R   (1997-2002),7,1997,2,7337
264,F 650   (1997-2008),7,1998,2,5069
265,F 650 FL   (1997-2008),7,1998,2,4908
266,F 650 ST   (1997-2001),7,1998,2,9254
267,K 1100 LT   (1997-1999),7,1998,2,5846
268,K 1100 LT High Line   (1997-1999),7,1998,2,4488
269,K 1100 LT Sidecar   (1997-1999),7,1998,2,9140
270,K 1100 RS   (1993-1998),7,1998,2,3714
271,K 750   (1986-1999),7,1998,2,8385
272,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1998,2,4204
273,R 100 R   (1992-1999),7,1998,2,7744
274,R 1100 GS   (1997-1999),7,1998,2,2411
275,R 1100 R   (1997-2008),7,1998,2,8934
276,R 1100 RS   (1997-2008),7,1998,2,8603
277,R 1100 RT   (1996-2002),7,1998,2,7765
278,R 1100 S   (1998-2007),7,1998,2,6892
279,R 1200 C Classic   (1998-2004),7,1998,2,10557
280,R 1200 C Independent   (1997-2000),7,1998,2,7050
281,R 1200 LT   (1998-2004),7,1998,2,2172
282,R 1200 RT   (1997-2004),7,1998,2,1580
283,R 1200 S   (1997-2006),7,1998,2,3892
284,R 850 R   (1997-2002),7,1998,2,2867
285,F 650   (1997-2008),7,1999,2,6049
286,F 650 FL   (1997-2008),7,1999,2,6993
287,F 650 ST   (1997-2001),7,1999,2,8581
288,K 1100 LT   (1997-1999),7,1999,2,5160
289,K 1100 LT High Line   (1997-1999),7,1999,2,7295
290,K 1100 LT Sidecar   (1997-1999),7,1999,2,2395
291,K 1200 LT   (1999-2009),7,1999,2,10064
292,K 1200 RS   (1999-2009),7,1999,2,8333
293,K 750   (1986-1999),7,1999,2,2396
294,R 100 R   (1992-1999),7,1999,2,9447
295,R 1100 GS   (1997-1999),7,1999,2,2360
296,R 1100 R   (1997-2008),7,1999,2,8362
297,R 1100 RS   (1997-2008),7,1999,2,6261
298,R 1100 RT   (1996-2002),7,1999,2,10811
299,R 1100 S   (1998-2007),7,1999,2,7773
300,R 1200 C Classic   (1998-2004),7,1999,2,6653
301,R 1200 C Independent   (1997-2000),7,1999,2,3593
302,R 1200 LT   (1998-2004),7,1999,2,2567
303,R 1200 RT   (1997-2004),7,1999,2,5942
304,R 1200 S   (1997-2006),7,1999,2,4813
305,R 850 C Classic   (1999-2001),7,1999,2,6993
306,R 850 GS   (1999-2002),7,1999,2,5754
307,R 850 R   (1997-2002),7,1999,2,6206
308,C1 125   (2000-2003),7,2000,2,4247
309,C1 125 Executive   (2000-2003),7,2000,2,5733
310,C1 125 Family's Friend   (2000-2003),7,2000,2,6676
311,F 650   (1997-2008),7,2000,2,8687
312,F 650 FL   (1997-2008),7,2000,2,1867
313,F 650 ST   (1997-2001),7,2000,2,3431
314,F 650 ST Strada   (2000-2002),7,2000,2,6601
315,K 1200 LT   (1999-2009),7,2000,2,5514
316,K 1200 RS   (1999-2009),7,2000,2,6387
317,R 1100 R   (1997-2008),7,2000,2,4539
318,R 1100 RS   (1997-2008),7,2000,2,8188
319,R 1100 RT   (1996-2002),7,2000,2,4955
320,R 1100 S   (1998-2007),7,2000,2,8945
321,R 1150 GS   (2000-2006),7,2000,2,7866
322,R 1200 C   (2000-2007),7,2000,2,10978
323,R 1200 C Classic   (1998-2004),7,2000,2,7680
324,R 1200 C Independent   (1997-2000),7,2000,2,7325
325,R 1200 C Independent   (2000-2004),7,2000,2,7840
326,R 1200 LT   (1998-2004),7,2000,2,5238
327,R 1200 RT   (1997-2004),7,2000,2,3126
328,R 1200 S   (1997-2006),7,2000,2,8647
329,R 850 C   (2000-2007),7,2000,2,1743
330,R 850 C Classic   (1999-2001),7,2000,2,5843
331,R 850 GS   (1999-2002),7,2000,2,4058
332,R 850 R   (1997-2002),7,2000,2,6957
333,R 850 RT   (2000-2003),7,2000,2,7393
334,C1 125   (2000-2003),7,2001,2,7931
335,C1 125 Executive   (2000-2003),7,2001,2,2339
336,C1 125 Family's Friend   (2000-2003),7,2001,2,6433
337,C1 200 Básico   (2001-2003),7,2001,2,3898
338,C1 200 Executive   (2001-2003),7,2001,2,2665
339,C1 200 Family's Friend   (2001-2003),7,2001,2,4485
340,F 650   (1997-2008),7,2001,2,3658
341,F 650 FL   (1997-2008),7,2001,2,8844
342,F 650 ST   (1997-2001),7,2001,2,2857
343,F 650 ST Strada   (2000-2002),7,2001,2,10197
344,K 1200 LT   (1999-2009),7,2001,2,9711
345,K 1200 RS   (1999-2009),7,2001,2,9051
346,R 1100 R   (1997-2008),7,2001,2,8245
347,R 1100 RS   (1997-2008),7,2001,2,8563
348,R 1100 RT   (1996-2002),7,2001,2,10230
349,R 1100 S   (1998-2007),7,2001,2,4172
350,R 1150 GS   (2000-2006),7,2001,2,9759
351,R 1150 R   (2001-2007),7,2001,2,10546
352,R 1150 RT   (2001-2006),7,2001,2,5232
353,R 1200 C   (2000-2007),7,2001,2,6085
354,R 1200 C Classic   (1998-2004),7,2001,2,6760
355,R 1200 C Independent   (2000-2004),7,2001,2,9591
356,R 1200 LT   (1998-2004),7,2001,2,6023
357,R 1200 RT   (1997-2004),7,2001,2,8109
358,R 1200 S   (1997-2006),7,2001,2,10011
359,R 850 C   (2000-2007),7,2001,2,4192
360,R 850 C Classic   (1999-2001),7,2001,2,4663
361,R 850 GS   (1999-2002),7,2001,2,1592
362,R 850 R   (1997-2002),7,2001,2,6584
363,R 850 RT   (2000-2003),7,2001,2,10118
364,C1 125   (2000-2003),7,2002,2,9587
365,C1 125 Executive   (2000-2003),7,2002,2,9231
366,C1 125 Family's Friend   (2000-2003),7,2002,2,4005
367,C1 200 Básico   (2001-2003),7,2002,2,10593
368,C1 200 Executive   (2001-2003),7,2002,2,2749
369,C1 200 Family's Friend   (2001-2003),7,2002,2,3948
370,F 650   (1997-2008),7,2002,2,6673
371,F 650 CS Scarver   (2002-2007),7,2002,2,4830
372,F 650 FL   (1997-2008),7,2002,2,2258
373,F 650 ST Strada   (2000-2002),7,2002,2,9625
374,K 1200 LT   (1999-2009),7,2002,2,9594
375,K 1200 RS   (1999-2009),7,2002,2,4686
376,R 1100 R   (1997-2008),7,2002,2,9908
377,R 1100 RS   (1997-2008),7,2002,2,10251
378,R 1100 RT   (1996-2002),7,2002,2,8010
379,R 1100 S   (1998-2007),7,2002,2,8347
380,R 1150 GS   (2000-2006),7,2002,2,1887
381,R 1150 R   (2001-2007),7,2002,2,9319
382,R 1150 RS   (2002-2006),7,2002,2,4331
383,R 1150 RT   (2001-2006),7,2002,2,8501
384,R 1200 C   (2000-2007),7,2002,2,3608
385,R 1200 C Classic   (1998-2004),7,2002,2,2302
386,R 1200 C Independent   (2000-2004),7,2002,2,4566
387,R 1200 CL   (2002-2004),7,2002,2,7042
388,R 1200 LT   (1998-2004),7,2002,2,1915
389,R 1200 RT   (1997-2004),7,2002,2,1508
390,R 1200 S   (1997-2006),7,2002,2,4049
391,R 850 C   (2000-2007),7,2002,2,2704
392,R 850 GS   (1999-2002),7,2002,2,10810
393,R 850 R   (1997-2002),7,2002,2,7500
394,R 850 R   (2002-2009),7,2002,2,5118
395,R 850 RT   (2000-2003),7,2002,2,2733
396,C1 125   (2000-2003),7,2003,2,5768
397,C1 125 Executive   (2000-2003),7,2003,2,2950
398,C1 125 Family's Friend   (2000-2003),7,2003,2,3636
399,C1 200 Básico   (2001-2003),7,2003,2,1534
400,C1 200 Executive   (2001-2003),7,2003,2,10166
401,C1 200 Family's Friend   (2001-2003),7,2003,2,7446
402,F 650   (1997-2008),7,2003,2,10997
403,F 650 CS   (2003-2005),7,2003,2,8994
404,F 650 CS Scarver   (2002-2007),7,2003,2,5027
405,F 650 FL   (1997-2008),7,2003,2,2855
406,K 1200 GT   (2003-2009),7,2003,2,7372
407,K 1200 LT   (1999-2009),7,2003,2,9424
408,K 1200 RS   (1999-2009),7,2003,2,8138
409,R 1100 R   (1997-2008),7,2003,2,2343
410,R 1100 RS   (1997-2008),7,2003,2,8909
411,R 1100 S   (1998-2007),7,2003,2,2860
412,R 1150 GS   (2000-2006),7,2003,2,1556
413,R 1150 R   (2001-2007),7,2003,2,5030
414,R 1150 RS   (2002-2006),7,2003,2,2727
415,R 1150 RT   (2001-2006),7,2003,2,4794
416,R 1200 C   (2000-2007),7,2003,2,8544
417,R 1200 C Classic   (1998-2004),7,2003,2,10298
418,R 1200 C Independent   (2000-2004),7,2003,2,4937
419,R 1200 CL   (2002-2004),7,2003,2,7981
420,R 1200 LT   (1998-2004),7,2003,2,4206
421,R 1200 RT   (1997-2004),7,2003,2,7587
422,R 1200 S   (1997-2006),7,2003,2,3250
423,R 850 C   (2000-2007),7,2003,2,8638
424,R 850 R   (2002-2009),7,2003,2,6963
425,R 850 RT   (2000-2003),7,2003,2,2501
426,F 650   (1997-2008),7,2004,2,1609
427,F 650 CS   (2003-2005),7,2004,2,5671
428,F 650 CS Scarver   (2002-2007),7,2004,2,4949
429,F 650 FL   (1997-2008),7,2004,2,9044
430,F 650 GS   (2004-2007),7,2004,2,5949
431,F 650 GS Dakar   (2004-2009),7,2004,2,6086
432,K 1200 GT   (2003-2009),7,2004,2,3789
433,K 1200 LT   (1999-2009),7,2004,2,6901
434,K 1200 RS   (1999-2009),7,2004,2,3612
435,R 1100 R   (1997-2008),7,2004,2,4852
436,R 1100 RS   (1997-2008),7,2004,2,10163
437,R 1100 S   (1998-2007),7,2004,2,8790
438,R 1150 Boxer Cup   (2004-2005),7,2004,2,6963
439,R 1150 GS   (2000-2006),7,2004,2,5099
440,R 1150 GS Adventure   (2004-2006),7,2004,2,7576
441,R 1150 R   (2001-2007),7,2004,2,8930
442,R 1150 R Rockster   (2004-2008),7,2004,2,2222
443,R 1150 RS   (2002-2006),7,2004,2,4197
444,R 1150 RT   (2001-2006),7,2004,2,4498
445,R 1200 C   (2000-2007),7,2004,2,6019
446,R 1200 C Classic   (1998-2004),7,2004,2,3871
447,R 1200 C Independent   (2000-2004),7,2004,2,4363
448,R 1200 C Montauk   (2004-2008),7,2004,2,8160
449,R 1200 CL   (2002-2004),7,2004,2,4078
450,R 1200 GS   (2004-2007),7,2004,2,3941
451,R 1200 LT   (1998-2004),7,2004,2,10642
452,R 1200 RT   (1997-2004),7,2004,2,7623
453,R 1200 S   (1997-2006),7,2004,2,4435
454,R 850 C   (2000-2007),7,2004,2,10075
455,R 850 R   (2002-2009),7,2004,2,2241
456,F 650   (1997-2008),7,2005,2,3368
457,F 650 CS   (2003-2005),7,2005,2,10656
458,F 650 CS Scarver   (2002-2007),7,2005,2,3026
459,F 650 FL   (1997-2008),7,2005,2,9085
460,F 650 GS   (2004-2007),7,2005,2,8282
461,F 650 GS Dakar   (2004-2009),7,2005,2,9810
462,K 1200 GT   (2003-2009),7,2005,2,3451
463,K 1200 LT   (1999-2009),7,2005,2,4436
464,K 1200 R   (2005-2009),7,2005,2,2924
465,K 1200 RS   (1999-2009),7,2005,2,7904
466,K 1200 S   (2005-2009),7,2005,2,6250
467,R 1100 R   (1997-2008),7,2005,2,5308
468,R 1100 RS   (1997-2008),7,2005,2,7465
469,R 1100 S   (1998-2007),7,2005,2,1719
470,R 1150 Boxer Cup   (2004-2005),7,2005,2,7292
471,R 1150 GS   (2000-2006),7,2005,2,1631
472,R 1150 GS Adventure   (2004-2006),7,2005,2,2472
473,R 1150 R   (2001-2007),7,2005,2,7266
474,R 1150 R Rockster   (2004-2008),7,2005,2,3139
475,R 1150 RS   (2002-2006),7,2005,2,9641
476,R 1150 RT   (2001-2006),7,2005,2,10574
477,R 1200 C   (2000-2007),7,2005,2,2668
478,R 1200 C Montauk   (2004-2008),7,2005,2,7029
479,R 1200 GS   (2004-2007),7,2005,2,4490
480,R 1200 RS   (2005-2008),7,2005,2,10391
481,R 1200 RT 110cv   (2005-2009),7,2005,2,4526
482,R 1200 RT 98cv   (2005-2009),7,2005,2,10304
483,R 1200 S   (1997-2006),7,2005,2,4468
484,R 1200 ST   (2005-2010),7,2005,2,2321
485,R 850 C   (2000-2007),7,2005,2,1686
486,R 850 R   (2002-2009),7,2005,2,3265
487,F 650   (1997-2008),7,2006,2,4909
488,F 650 CS Scarver   (2002-2007),7,2006,2,6857
489,F 650 FL   (1997-2008),7,2006,2,3288
490,F 650 GS   (2004-2007),7,2006,2,6624
491,F 650 GS Dakar   (2004-2009),7,2006,2,2965
492,F 800 S   (2006-2012),7,2006,2,5138
493,F 800 ST   (2006-2010),7,2006,2,2399
494,HP2 Enduro   (2006-2009),7,2006,2,5345
495,K 1200 GT   (2003-2009),7,2006,2,5834
496,K 1200 LT   (1999-2009),7,2006,2,6836
497,K 1200 R   (2005-2009),7,2006,2,2249
498,K 1200 RS   (1999-2009),7,2006,2,9085
499,K 1200 S   (2005-2009),7,2006,2,2929
500,R 1100 R   (1997-2008),7,2006,2,5704
501,R 1100 RS   (1997-2008),7,2006,2,5099
502,R 1100 S   (1998-2007),7,2006,2,3956
503,R 1150 GS   (2000-2006),7,2006,2,10807
504,R 1150 GS Adventure   (2004-2006),7,2006,2,8441
505,R 1150 R   (2001-2007),7,2006,2,6556
506,R 1150 R Rockster   (2004-2008),7,2006,2,7006
507,R 1150 RS   (2002-2006),7,2006,2,3651
508,R 1150 RT   (2001-2006),7,2006,2,3191
509,R 1200 C   (2000-2007),7,2006,2,8310
510,R 1200 C Montauk   (2004-2008),7,2006,2,4640
511,R 1200 GS   (2004-2007),7,2006,2,10201
512,R 1200 GS Adventure 105cv   (2006-2009),7,2006,2,7780
513,R 1200 GS Adventure 98cv   (2006-2009),7,2006,2,6672
514,R 1200 RS   (2005-2008),7,2006,2,8092
515,R 1200 RT 110cv   (2005-2009),7,2006,2,3133
516,R 1200 RT 98cv   (2005-2009),7,2006,2,5653
517,R 1200 S   (1997-2006),7,2006,2,6979
518,R 1200 ST   (2005-2010),7,2006,2,9102
519,R 850 C   (2000-2007),7,2006,2,2265
520,R 850 R   (2002-2009),7,2006,2,7143
521,F 650   (1997-2008),7,2007,2,8031
522,F 650 CS Scarver   (2002-2007),7,2007,2,10913
523,F 650 FL   (1997-2008),7,2007,2,5862
524,F 650 GS   (2004-2007),7,2007,2,6932
